id,sla,overdue,x,y,type
11699522-101001188313,14.0,-11.99,3129118.76819,13825882.954380002,3.0
101001131234,7.0,-2.29,3115328.5,13850452.75,3.0
11634811-101001002611,30.0,-26.99,3174026.72,13846999.1,3.0
274148-101000958171,180.0,222.99,3123762.66,13832514.19,3.0
101001008700,4.0,-1.69,3116067.42,13873822.26,3.0
11637371-101001011610,40.0,-34.15,3095099.02,13781060.12,3.0
101001087614,4.0,8.94,3128397.97,13815793.02,3.0
11658984-101001078559,14.0,-11.86,3083277.66,13817649.83,3.0
101000985522,21.0,-21.0,3100819.35,13848101.75,3.0
11635468-101001004733,1.0,-0.89,3083103.72,13785226.33,3.0
283414-101001080217,180.0,41.22,3160352.09,13793533.95,3.0
11712881-101001224170,35.0,-34.85,3100631.50659,13796830.33203,3.0
11668186-101001103151,40.0,-22.56,3053984.65993,13822482.46839,3.0
101000907485,6.0,4.93,3076337.78,13773348.79,3.0
101001142022,4.0,-3.76,3148535.66,13793876.93,3.0
101001109540,4.0,3.93,3066898.66,13817821.04,3.0
101000912065,21.0,-20.98,3119640.63,13829794.25,3.0
101001147770,18.0,-9.16,3114292.49,13844668.47,3.0
11655025-101001066628,2.0,-1.07,3129102.93,13876790.07,3.0
101001047232,6.0,-0.68,3084923.25,13800414.59,3.0
11609052-101000926422,1.0,-0.07,3118621.19,13826236.12,3.0
101001130188,4.0,-3.25,3122542.09,13830571.28,3.0
101001007171,180.0,-91.63,3131879.08,13805818.95,3.0
11629545-101000987187,1.0,-0.37,3169967.4,13845553.19,3.0
101001181232,7.0,0.84,3097339.68,13873308.76,3.0
101001214647,7.0,-6.3,3128078.68562,13826078.11147,3.0
101000877237,21.0,-20.97,3133980.56,13851822.54,3.0
101001041104,4.0,-3.98,3082741.8,13785248.25,3.0
101000890425,21.0,-16.38,3165325.5,13788436.92,3.0
11600213-101000903592,10.0,-9.31,3056479.01,13848533.14,3.0
11701331-101001193781,7.0,2.4,3085629.86271,13809366.04351,3.0
11695151-101001176720,7.0,-2.3,3114169.54645,13855633.00019,3.0
101001009724,4.0,-2.71,3085212.2,13846583.41,3.0
101001174250,8.0,-179.25,3110692.98352,13838866.67939,3.0
788226-101000944077,14.0,-8.35,3117306.6548,13839669.657580003,2.0
11708447-101001212603,60.0,-56.07,3102402.95023,13816151.143459998,3.0
101001230322,6.0,-5.98,3103460.90021,13816974.09424,3.0
11637046-101001010342,14.0,-12.9,3144821.74,13881381.09,3.0
101000930144,10.0,-4.01,3136660.09,13869882.12,3.0
0-101000942584,25.0,124.15,3142026.9,13816736.16,3.0
11665672-101001096395,60.0,8.06,3048973.6,13834433.45,3.0
11588057-101000875942,1.0,-0.58,3143140.33,13876677.4,3.0
11712595-101001223376,14.0,-13.0,3099605.40038,13889726.76927,3.0
101001203952,17.0,-41.78,3093769.97504,13807923.182220003,3.0
101001233054,6.0,-5.89,3045436.20983,13812271.1358,3.0
11606382-101000919239,14.0,-12.83,3080874.79,13858790.53,3.0
285875-101001147848,176.0,-138.53,3096021.6,13783580.74,3.0
101000945119,4.0,-2.91,3082561.31,13797085.33,3.0
11694978-101001176269,14.0,-13.08,3052237.84157,13811325.97463,3.0
270196-101000887325,180.0,-130.85,3166922.37,13799304.87,3.0
250777-101001159810,75.0,-172.29,3128158.87477,13812114.64399,3.0
235728-101000921087,51.0,-176.69,3118149.57,13801190.54,3.0
11614040-101000940790,20.0,-19.83,3056144.12,13838339.18,3.0
101000928791,6.0,-3.05,3114091.36,13832485.46,3.0
101001004697,10.0,-1.83,3201178.93,13947317.22,3.0
101000991798,4.0,7.93,3155736.53,13942647.01,3.0
11641715-101001026141,15.0,-14.93,3040901.21,13831319.66,3.0
11638941-101001016749,20.0,-19.76,3079336.64,13882027.98,3.0
0-101001080596,180.0,-98.0,3103396.05,13879000.31,3.0
11666292-101001098061,7.0,-4.05,3068313.83,13865772.98,3.0
11588674-101000877458,14.0,-10.07,3115281.94,13829749.67,3.0
101001093128,10.0,-8.91,3081130.13,13780423.78,3.0
101000976387,29.0,-21.82,3088808.31,13878979.29,3.0
280758-101001069441,25.0,-7.39,3166937.22,13780195.09,3.0
101001172489,12.0,2.11,3108998.88651,13856165.136259997,3.0
11708177-101001211671,21.0,-8.2,3134032.20521,13849182.38875,1.0
101001102699,21.0,0.03,3144412.62244,13827466.70449,3.0
11695345-101001177144,20.0,-15.97,3076896.83983,13863545.39513,3.0
101001185801,4.0,1.25,3114390.19922,13854238.00593,3.0
11648485-101001048646,40.0,-39.03,3124313.84,13822594.07,3.0
101001060681,4.0,0.86,3131458.94,13851977.9,3.0
101001192035,4.0,-5.09,3091953.30085,13813343.02145,3.0
101001162190,7.0,-175.26,3162947.39574,13789863.75968,3.0
11685959-101001151535,1.0,-0.82,3071479.56851,13799701.78233,3.0
11687141-101001154955,21.0,-20.03,3104819.63437,13858938.50703,3.0
11711190-101001219760,1.0,-0.13,3079461.33076,13827766.89615,3.0
11618320-101000953781,1.0,-0.75,3122468.57,13830747.1,3.0
278138-101001011818,180.0,238.0,3122159.83,13805839.8,3.0
286219-101001164670,25.0,-29.99,3165833.67573,13790430.879939998,3.0
11596311-101000894268,14.0,31.23,3128648.36,13853627.07,3.0
11593592-101000888646,23.0,-29.88,3134478.25,13816565.6,3.0
0-101001046711,180.0,-132.68,3086147.77,13879440.68,3.0
11668318-101001103521,1.0,-0.84,3101604.42788,13848249.61076,3.0
11695115-101001176622,14.0,-13.18,3067047.16891,13804337.0936,3.0
101000881184,4.0,3.59,3137981.61,13807336.71,3.0
11630738-101000990134,7.0,-3.59,3095473.24,13803909.63,3.0
101001232372,7.0,-7.91,3090739.87874,13866721.89271,3.0
101001063820,7.0,-179.9,3082008.14,13819914.54,3.0
11675763-101001124570,14.0,-11.75,3150704.87,13817887.46,3.0
101001052061,4.0,-1.9,3107539.29,13797520.26,3.0
101001017275,4.0,1.1,3115730.2,13835924.43,3.0
101001077003,5.0,-17.32,3145382.47,13833808.59,3.0
11590753-101000882035,2.0,-1.02,3046910.79,13816877.57,3.0
843270-101001057968,14.0,-60.89,3090964.59,13850383.68,3.0
11679939-101001135143,2.0,-0.3,3118088.16,13880230.31,3.0
101001011360,7.0,5.22,3080913.82,13832706.08,3.0
101001153606,10.0,4.04,3095412.20535,13876150.27543,3.0
